frequency,power
0.0,0.015890476026278605
0.016666666666666635,0.09155110082980683
0.03333333333333327,0.10487218235067143
0.0499999999999999,0.04587061597487569
0.06666666666666654,0.02033813058459169
0.08333333333333351,0.016175872429244297
0.0999999999999998,0.01466052854001127
0.11666666666666686,0.013717957131114058
0.13333333333333308,0.012574593977198045
0.14999999999999966,0.01086963010721753
0.16666666666666702,0.008559049576513454
0.18333333333333351,0.006104256629544206
0.1999999999999996,0.005673511882388315
0.21666666666666617,0.0050788505864031745
0.23333333333333373,0.00478680815002137
0.25,0.0048847017919575126
0.26666666666666616,0.00549202547682792
0.2833333333333332,0.004969745045237416
0.2999999999999993,0.003294095291973217
0.3166666666666678,0.0031210935958845237
0.33333333333333404,0.0028457993161072202
0.350000000000001,0.002438694386399251
0.36666666666666703,0.0018619980291386955
0.3833333333333329,0.0014799525420282494
0.3999999999999992,0.001389295543177517
0.4166666666666662,0.0012309698382013386
0.43333333333333235,0.0013150860194414663
0.4500000000000014,0.0018454976411925864
0.46666666666666745,0.0017007804530025075
0.48333333333333395,0.0017774686894435233
0.5,0.0010028872200191147
