frequency,power
0.0,0.04733899816159562
0.016666666666666632,0.20434322287038795
0.033333333333333263,0.15556605467401072
0.050000000000000086,0.06565759817647755
0.06666666666666653,0.04288527181265348
0.0833333333333334,0.021286014474606763
0.10000000000000017,0.012795408354793546
0.11666666666666693,0.012207248911491457
0.13333333333333305,0.007609443289346973
0.1499999999999994,0.004729090429776223
0.1666666666666668,0.0061940507423589135
0.18333333333333285,0.006496995399540196
0.20000000000000034,0.004037235402383051
0.21666666666666673,0.0032103532236951336
0.23333333333333386,0.0025674085004209085
0.25,0.0024287264814001194
0.2666666666666661,0.0023284147868870278
0.2833333333333328,0.0018015864042115197
0.2999999999999988,0.0013780684250719547
0.3166666666666679,0.0010726969181844032
0.3333333333333336,0.0008887048957617764
0.35,0.0006894957098902206
0.3666666666666657,0.0005177959542749824
0.3833333333333345,0.0003630402637926571
0.4000000000000007,0.0002752949939006703
0.4166666666666674,0.0001789182733802309
0.43333333333333346,0.00012793333923742526
0.45000000000000173,6.756025659822093e-05
0.46666666666666773,3.0333414249783943e-05
0.483333333333334,9.457965859255237e-06
0.5,9.16892684816936e-07
